,State,Year,Quarter,District,RegisteredUser
434,assam,2018,3,golaghat district,21729
435,assam,2018,3,udalguri district,11213
436,assam,2018,3,majuli district,2739
437,assam,2018,3,sonitpur district,38797
438,assam,2018,3,hojai district,14769
439,assam,2018,3,marigaon district,15934
440,assam,2018,3,chirang district,7234
441,assam,2018,3,cachar district,40888
442,assam,2018,3,nalbari district,15082
443,assam,2018,3,west karbi anglong district,2051
444,assam,2018,3,dhemaji district,14771
445,assam,2018,3,karimganj district,17088
446,assam,2018,3,bongaigaon district,18869
447,assam,2018,3,dima hasao district,4860
448,assam,2018,3,baksa district,14459
449,assam,2018,3,charaideo district,9516
450,assam,2018,3,darrang district,16774
451,assam,2018,3,kamrup metropolitan district,164101
452,assam,2018,3,hailakandi district,12471
453,assam,2018,3,barpeta district,41158
454,assam,2018,3,goalpara district,20290
455,assam,2018,3,biswanath district,11572
456,assam,2018,3,jorhat district,32134
457,assam,2018,2,tinsukia district,23900
458,assam,2018,2,lakhimpur district,12719
459,assam,2018,2,kamrup district,23595
460,assam,2018,2,kokrajhar district,9480
461,assam,2018,2,karbi anglong district,8725
462,assam,2018,2,sivasagar district,12596
463,assam,2018,2,dibrugarh district,30527
464,assam,2018,2,south salmara mancachar district,3557
465,assam,2018,2,nagaon district,29412
466,assam,2018,2,dhubri district,16701
467,assam,2018,2,golaghat district,15237
468,assam,2018,2,udalguri district,7691
469,assam,2018,2,majuli district,1927
470,assam,2018,2,sonitpur district,28409
471,assam,2018,2,hojai district,10903
472,assam,2018,2,marigaon district,11217
473,assam,2018,2,chirang district,5105
474,assam,2018,2,cachar district,29381
475,assam,2018,2,nalbari district,10898
476,assam,2018,2,west karbi anglong district,1406
477,assam,2018,2,dhemaji district,10157
478,assam,2018,2,karimganj district,11732
479,assam,2018,2,bongaigaon district,14065
480,assam,2018,2,dima hasao district,3404
481,assam,2018,2,baksa district,9739
482,assam,2018,2,charaideo district,6693
483,assam,2018,2,darrang district,11954
484,assam,2018,2,kamrup metropolitan district,124720
485,assam,2018,2,hailakandi district,8687
486,assam,2018,2,barpeta district,29882
487,assam,2018,2,goalpara district,14974
488,assam,2018,2,biswanath district,7970
489,assam,2018,2,jorhat district,23683
490,assam,2018,1,tinsukia district,15998
491,assam,2018,1,lakhimpur district,8143
492,assam,2018,1,kamrup district,15241
493,assam,2018,1,kokrajhar district,6566
494,assam,2018,1,karbi anglong district,5694
495,assam,2018,1,sivasagar district,8292
496,assam,2018,1,dibrugarh district,21182
497,assam,2018,1,south salmara mancachar district,2420
498,assam,2018,1,nagaon district,19619
499,assam,2018,1,dhubri district,11421
500,assam,2018,1,golaghat district,10102
501,assam,2018,1,udalguri district,4768
502,assam,2018,1,majuli district,1274
503,assam,2018,1,sonitpur district,18986
504,assam,2018,1,hojai district,7571
505,assam,2018,1,marigaon district,7193
506,assam,2018,1,chirang district,3487
507,assam,2018,1,cachar district,19567
508,assam,2018,1,nalbari district,6874
509,assam,2018,1,west karbi anglong district,835
510,assam,2018,1,dhemaji district,6623
511,assam,2018,1,karimganj district,7367
512,assam,2018,1,bongaigaon district,9724
513,assam,2018,1,dima hasao district,2245
514,assam,2018,1,baksa district,6082
515,assam,2018,1,charaideo district,4366
516,assam,2018,1,darrang district,8050
517,assam,2018,1,kamrup metropolitan district,87336
518,assam,2018,1,hailakandi district,5700
519,assam,2018,1,barpeta district,20485
520,assam,2018,1,goalpara district,10420
521,assam,2018,1,biswanath district,5164
522,assam,2018,1,jorhat district,16442
523,assam,2018,4,tinsukia district,42624
524,assam,2018,4,lakhimpur district,25253
525,assam,2018,4,kamrup district,44868
526,assam,2018,4,kokrajhar district,17317
527,assam,2018,4,karbi anglong district,16359
528,assam,2018,4,sivasagar district,23195
529,assam,2018,4,dibrugarh district,52539
530,assam,2018,4,south salmara mancachar district,6809
531,assam,2018,4,nagaon district,54395
532,assam,2018,4,dhubri district,30132
533,assam,2018,4,golaghat district,28795
534,assam,2018,4,udalguri district,15637
535,assam,2018,4,majuli district,3882
536,assam,2018,4,sonitpur district,51420
537,assam,2018,4,hojai district,19400
538,assam,2018,4,marigaon district,21518
539,assam,2018,4,chirang district,9567
540,assam,2018,4,cachar district,53209
541,assam,2018,4,nalbari district,20512
542,assam,2018,4,west karbi anglong district,2925
543,assam,2018,4,dhemaji district,19530
544,assam,2018,4,karimganj district,23348
545,assam,2018,4,bongaigaon district,24766
546,assam,2018,4,dima hasao district,6483
547,assam,2018,4,baksa district,20047
548,assam,2018,4,charaideo district,12563
549,assam,2018,4,darrang district,22235
550,assam,2018,4,kamrup metropolitan district,214212
551,assam,2018,4,hailakandi district,16753
552,assam,2018,4,barpeta district,55068
553,assam,2018,4,goalpara district,27280
554,assam,2018,4,biswanath district,15480
555,assam,2018,4,jorhat district,41100
556,assam,2021,3,tinsukia district,156657
557,assam,2021,3,lakhimpur district,104585
558,assam,2021,3,kamrup district,172652
559,assam,2021,3,kokrajhar district,71086
560,assam,2021,3,karbi anglong district,68242
561,assam,2021,3,sivasagar district,89129
562,assam,2021,3,dibrugarh district,184280
563,assam,2021,3,south salmara mancachar district,33080
564,assam,2021,3,nagaon district,233909
565,assam,2021,3,dhubri district,119554
566,assam,2021,3,golaghat district,115666
567,assam,2021,3,udalguri district,68048
568,assam,2021,3,majuli district,16073
569,assam,2021,3,sonitpur district,184448
570,assam,2021,3,hojai district,75318
571,assam,2021,3,marigaon district,102617
572,assam,2021,3,chirang district,42198
573,assam,2021,3,cachar district,200721
574,assam,2021,3,nalbari district,79951
575,assam,2021,3,west karbi anglong district,15112
576,assam,2021,3,dhemaji district,80553
577,assam,2021,3,karimganj district,105371
578,assam,2021,3,bongaigaon district,94320
579,assam,2021,3,dima hasao district,28350
580,assam,2021,3,baksa district,88112
581,assam,2021,3,charaideo district,47576
582,assam,2021,3,darrang district,83547
583,assam,2021,3,kamrup metropolitan district,677223
584,assam,2021,3,hailakandi district,66975
585,assam,2021,3,barpeta district,207997
586,assam,2021,3,goalpara district,107173
587,assam,2021,3,biswanath district,62778
588,assam,2021,3,jorhat district,135179
589,assam,2021,2,tinsukia district,144571
590,assam,2021,2,lakhimpur district,96165
591,assam,2021,2,kamrup district,159018
592,assam,2021,2,kokrajhar district,65062
593,assam,2021,2,karbi anglong district,62752
594,assam,2021,2,sivasagar district,82266
595,assam,2021,2,dibrugarh district,170604
596,assam,2021,2,south salmara mancachar district,30377
597,assam,2021,2,nagaon district,215750
598,assam,2021,2,dhubri district,109873
599,assam,2021,2,golaghat district,106454
600,assam,2021,2,udalguri district,62273
601,assam,2021,2,majuli district,14758
602,assam,2021,2,sonitpur district,170519
603,assam,2021,2,hojai district,69441
604,assam,2021,2,marigaon district,94605
605,assam,2021,2,chirang district,38690
606,assam,2021,2,cachar district,185350
607,assam,2021,2,nalbari district,73631
608,assam,2021,2,west karbi anglong district,13811
609,assam,2021,2,dhemaji district,74111
610,assam,2021,2,karimganj district,97106
611,assam,2021,2,bongaigaon district,86972
612,assam,2021,2,dima hasao district,26183
613,assam,2021,2,baksa district,80839
614,assam,2021,2,charaideo district,43764
615,assam,2021,2,darrang district,76790
616,assam,2021,2,kamrup metropolitan district,630676
617,assam,2021,2,hailakandi district,61575
618,assam,2021,2,barpeta district,191700
619,assam,2021,2,goalpara district,98459
620,assam,2021,2,biswanath district,57664
621,assam,2021,2,jorhat district,125247
622,assam,2021,1,tinsukia district,134067
623,assam,2021,1,lakhimpur district,89104
624,assam,2021,1,kamrup district,147671
625,assam,2021,1,kokrajhar district,60046
626,assam,2021,1,karbi anglong district,58026
627,assam,2021,1,sivasagar district,76308
628,assam,2021,1,dibrugarh district,158509
629,assam,2021,1,south salmara mancachar district,28055
630,assam,2021,1,nagaon district,200243
631,assam,2021,1,dhubri district,101643
632,assam,2021,1,golaghat district,98520
633,assam,2021,1,udalguri district,57387
634,assam,2021,1,majuli district,13653
635,assam,2021,1,sonitpur district,158555
636,assam,2021,1,hojai district,64551
637,assam,2021,1,marigaon district,87679
638,assam,2021,1,chirang district,35753
639,assam,2021,1,cachar district,172056
640,assam,2021,1,nalbari district,68299
641,assam,2021,1,west karbi anglong district,12746
642,assam,2021,1,dhemaji district,68744
643,assam,2021,1,karimganj district,89969
644,assam,2021,1,bongaigaon district,80711
645,assam,2021,1,dima hasao district,24303
646,assam,2021,1,baksa district,74652
647,assam,2021,1,charaideo district,40563
648,assam,2021,1,darrang district,71026
649,assam,2021,1,kamrup metropolitan district,589688
650,assam,2021,1,hailakandi district,57052
651,assam,2021,1,barpeta district,177789
652,assam,2021,1,goalpara district,91082
653,assam,2021,1,biswanath district,53382
654,assam,2021,1,jorhat district,116616
655,assam,2021,4,tinsukia district,168240
656,assam,2021,4,lakhimpur district,112578
657,assam,2021,4,kamrup district,185421
658,assam,2021,4,kokrajhar district,76692
659,assam,2021,4,karbi anglong district,73615
660,assam,2021,4,sivasagar district,95808
661,assam,2021,4,dibrugarh district,197521
662,assam,2021,4,south salmara mancachar district,35734
663,assam,2021,4,nagaon district,251340
664,assam,2021,4,dhubri district,128621
665,assam,2021,4,golaghat district,124410
666,assam,2021,4,udalguri district,73549
667,assam,2021,4,majuli district,17302
668,assam,2021,4,sonitpur district,198091
669,assam,2021,4,hojai district,80848
670,assam,2021,4,marigaon district,110380
671,assam,2021,4,chirang district,45723
672,assam,2021,4,cachar district,215876
673,assam,2021,4,nalbari district,85746
674,assam,2021,4,west karbi anglong district,16379
675,assam,2021,4,dhemaji district,86582
676,assam,2021,4,karimganj district,113394
677,assam,2021,4,bongaigaon district,101421
678,assam,2021,4,dima hasao district,30548
679,assam,2021,4,baksa district,95091
680,assam,2021,4,charaideo district,51160
681,assam,2021,4,darrang district,89928
682,assam,2021,4,kamrup metropolitan district,723960
683,assam,2021,4,hailakandi district,72136
684,assam,2021,4,barpeta district,223375
685,assam,2021,4,goalpara district,115431
686,assam,2021,4,biswanath district,67580
687,assam,2021,4,jorhat district,145111
688,assam,2022,3,tinsukia district,199942
689,assam,2022,3,lakhimpur district,134167
690,assam,2022,3,kamrup district,221721
691,assam,2022,3,kokrajhar district,92019
692,assam,2022,3,karbi anglong district,87673
693,assam,2022,3,sivasagar district,114163
694,assam,2022,3,dibrugarh district,234149
695,assam,2022,3,south salmara mancachar district,43159
696,assam,2022,3,nagaon district,300653
697,assam,2022,3,dhubri district,154896
698,assam,2022,3,golaghat district,148419
699,assam,2022,3,udalguri district,87984
700,assam,2022,3,majuli district,20640
701,assam,2022,3,sonitpur district,235752
