,State,Year,Quarter,District,count,amount
488,assam,2018,2,biswanath district,24691,27140715.978855878
489,assam,2018,2,jorhat district,53341,70634515.73039348
490,assam,2018,1,tinsukia district,41237,45886201.028968215
491,assam,2018,1,lakhimpur district,24946,17798094.851239465
492,assam,2018,1,kamrup district,47859,41868129.255927615
493,assam,2018,1,kokrajhar district,16397,17935304.652874034
494,assam,2018,1,karbi anglong district,15032,14875159.1867853
495,assam,2018,1,sivasagar district,16898,17611863.81889959
496,assam,2018,1,dibrugarh district,44792,53258765.86975427
497,assam,2018,1,south salmara mancachar district,8415,9404471.999163514
498,assam,2018,1,nagaon district,66695,56352631.291476294
499,assam,2018,1,dhubri district,26072,24431277.76189988
