,State,Year,Quarter,Transaction_type,Transaction_count,Transaction_amount
254,andhra-pradesh,2018,1,Others,395514,287626042.970705
255,andhra-pradesh,2018,4,Peer-to-peer payments,17580086,47011639726.13608
256,andhra-pradesh,2018,4,Recharge & bill payments,9767083,2418164314.470957
257,andhra-pradesh,2018,4,Merchant payments,2622131,1671585888.568256
258,andhra-pradesh,2018,4,Financial Services,400837,57178116.40322068
259,andhra-pradesh,2018,4,Others,389411,315211361.26249415
260,andhra-pradesh,2021,3,Peer-to-peer payments,221280317,837841124664.307
261,andhra-pradesh,2021,3,Merchant payments,158290953,118164377968.16754
262,andhra-pradesh,2021,3,Recharge & bill payments,51702350,27511344958.24361
263,andhra-pradesh,2021,3,Financial Services,211171,297239697.83073866
264,andhra-pradesh,2021,3,Others,547759,403948275.56756073
265,andhra-pradesh,2021,2,Peer-to-peer payments,189614879,737004484057.439
266,andhra-pradesh,2021,2,Merchant payments,112875274,88512429436.91248
267,andhra-pradesh,2021,2,Recharge & bill payments,49626902,24646800345.106976
268,andhra-pradesh,2021,2,Financial Services,243237,265483044.40124667
269,andhra-pradesh,2021,2,Others,406842,308302224.3856007
270,andhra-pradesh,2021,1,Peer-to-peer payments,149313738,580542193013.0018
271,andhra-pradesh,2021,1,Merchant payments,97920281,70813192713.43477
272,andhra-pradesh,2021,1,Recharge & bill payments,41940689,20546424964.14482
273,andhra-pradesh,2021,1,Financial Services,225355,270313028.48452014
274,andhra-pradesh,2021,1,Others,347907,272546457.5502677
275,andhra-pradesh,2021,4,Peer-to-peer payments,262006450,971269765249.1282
276,andhra-pradesh,2021,4,Merchant payments,207538904,152883933596.5386
277,andhra-pradesh,2021,4,Recharge & bill payments,51762842,31232784713.985794
278,andhra-pradesh,2021,4,Financial Services,243951,332740108.6635881
279,andhra-pradesh,2021,4,Others,701856,545223415.6638832
280,andhra-pradesh,2022,3,Peer-to-peer payments,298804000,1140164525892.7397
281,andhra-pradesh,2022,3,Merchant payments,291033653,202910820650.0824
282,andhra-pradesh,2022,3,Recharge & bill payments,52467708,41438764826.20322
283,andhra-pradesh,2022,3,Financial Services,187190,239347241.54655045
284,andhra-pradesh,2022,3,Others,362484,323951101.5715289
285,andhra-pradesh,2022,2,Peer-to-peer payments,321362337,1231408926513.7114
286,andhra-pradesh,2022,2,Merchant payments,292530048,205433660654.20898
287,andhra-pradesh,2022,2,Recharge & bill payments,56606969,42408541939.06145
288,andhra-pradesh,2022,2,Financial Services,192751,245783011.04455262
289,andhra-pradesh,2022,2,Others,441925,357036084.9071137
290,andhra-pradesh,2022,1,Peer-to-peer payments,288488560,1089629182596.4781
291,andhra-pradesh,2022,1,Merchant payments,242031836,169419685917.19562
292,andhra-pradesh,2022,1,Recharge & bill payments,51224170,34473036841.83001
293,andhra-pradesh,2022,1,Financial Services,231651,324358965.11859065
294,andhra-pradesh,2022,1,Others,627694,474382234.25397474
295,andhra-pradesh,2022,4,Merchant payments,321632104,211898851397.09848
296,andhra-pradesh,2022,4,Peer-to-peer payments,315734006,1170249585983.0112
297,andhra-pradesh,2022,4,Recharge & bill payments,52098850,41986837706.47902
298,andhra-pradesh,2022,4,Financial Services,206459,250596592.06465048
299,andhra-pradesh,2022,4,Others,345658,339211363.0027188
300,west-bengal,2019,3,Merchant payments,30804036,8273187167.0788555
301,west-bengal,2019,3,Peer-to-peer payments,21522913,57058405341.48096
302,west-bengal,2019,3,Recharge & bill payments,13011501,4832486821.888576
303,west-bengal,2019,3,Financial Services,558653,57054414.83597401
304,west-bengal,2019,3,Others,547726,319398871.5461071
305,west-bengal,2019,2,Peer-to-peer payments,20285958,48394974398.37831
306,west-bengal,2019,2,Merchant payments,13646142,4657258459.145545
307,west-bengal,2019,2,Recharge & bill payments,12129638,3676123279.3800926
308,west-bengal,2019,2,Financial Services,421037,45646046.98846317
309,west-bengal,2019,2,Others,540760,331688935.22631323
310,west-bengal,2019,1,Peer-to-peer payments,27374206,44170923881.744286
311,west-bengal,2019,1,Recharge & bill payments,11659948,3021107711.9021683
312,west-bengal,2019,1,Merchant payments,7636726,2645438308.338478
313,west-bengal,2019,1,Financial Services,525650,47986448.46936697
314,west-bengal,2019,1,Others,429858,279216273.42549
315,west-bengal,2019,4,Peer-to-peer payments,67037576,76593333397.8665
316,west-bengal,2019,4,Recharge & bill payments,14511711,4859794689.902503
317,west-bengal,2019,4,Merchant payments,14187744,6477138700.812115
318,west-bengal,2019,4,Financial Services,653648,77047243.72974005
319,west-bengal,2019,4,Others,415159,196296222.33587587
320,west-bengal,2020,3,Peer-to-peer payments,37556349,133120676151.84232
321,west-bengal,2020,3,Recharge & bill payments,22284079,8768630922.970161
322,west-bengal,2020,3,Merchant payments,19599024,14614394375.389553
323,west-bengal,2020,3,Financial Services,151996,125973420.85650632
324,west-bengal,2020,3,Others,363056,183680984.08253318
325,west-bengal,2020,2,Peer-to-peer payments,24855687,84984004330.7718
326,west-bengal,2020,2,Recharge & bill payments,22220012,7496845561.868595
327,west-bengal,2020,2,Merchant payments,10225729,7404190137.669086
328,west-bengal,2020,2,Financial Services,130595,89987205.23090403
329,west-bengal,2020,2,Others,244774,124404641.81495729
330,west-bengal,2020,1,Peer-to-peer payments,28457404,82770282623.80914
331,west-bengal,2020,1,Merchant payments,19779392,8097859088.519976
332,west-bengal,2020,1,Recharge & bill payments,17448908,5550815439.734788
333,west-bengal,2020,1,Financial Services,210068,58280893.55150119
334,west-bengal,2020,1,Others,354609,176067145.3227705
335,west-bengal,2020,4,Peer-to-peer payments,46437233,166391874596.30487
336,west-bengal,2020,4,Merchant payments,30077510,22241302940.832962
337,west-bengal,2020,4,Recharge & bill payments,23158305,10074605883.201237
338,west-bengal,2020,4,Financial Services,178455,164241191.7401362
339,west-bengal,2020,4,Others,489142,293466753.56894124
340,west-bengal,2018,3,Peer-to-peer payments,41882429,38439798815.23789
341,west-bengal,2018,3,Recharge & bill payments,7596315,1992473341.2750623
342,west-bengal,2018,3,Merchant payments,2252265,979603555.1397107
343,west-bengal,2018,3,Financial Services,1619524,185187032.8965006
344,west-bengal,2018,3,Others,354883,246871438.6293067
345,west-bengal,2018,2,Peer-to-peer payments,8284944,15889890046.862814
346,west-bengal,2018,2,Recharge & bill payments,7360522,1563841173.839662
347,west-bengal,2018,2,Financial Services,1121570,160809685.93886387
348,west-bengal,2018,2,Merchant payments,937608,715914360.819237
349,west-bengal,2018,2,Others,377802,298728202.7433254
350,west-bengal,2018,1,Recharge & bill payments,5773831,964309485.9592385
351,west-bengal,2018,1,Peer-to-peer payments,4383075,8874266825.985771
352,west-bengal,2018,1,Financial Services,665171,119502271.66944443
353,west-bengal,2018,1,Merchant payments,443378,366788699.65713125
354,west-bengal,2018,1,Others,444770,301111268.86863834
355,west-bengal,2018,4,Peer-to-peer payments,17154995,35303180047.06148
356,west-bengal,2018,4,Recharge & bill payments,9425082,2467741143.2258015
357,west-bengal,2018,4,Merchant payments,8633569,2294203496.6575317
358,west-bengal,2018,4,Financial Services,734796,93755616.52283625
359,west-bengal,2018,4,Others,565106,330738908.23670936
360,west-bengal,2021,3,Peer-to-peer payments,84353949,294799731350.5536
361,west-bengal,2021,3,Merchant payments,58800005,50971169851.15668
362,west-bengal,2021,3,Recharge & bill payments,37556310,16045754099.005053
363,west-bengal,2021,3,Financial Services,189087,213411736.37376124
364,west-bengal,2021,3,Others,813637,426999219.42323273
365,west-bengal,2021,2,Peer-to-peer payments,64661051,230812278789.29965
366,west-bengal,2021,2,Merchant payments,41696787,34787867208.31932
367,west-bengal,2021,2,Recharge & bill payments,34799709,13331453857.609217
368,west-bengal,2021,2,Financial Services,190537,186466487.6307634
369,west-bengal,2021,2,Others,549353,316744715.7049847
370,west-bengal,2021,1,Peer-to-peer payments,53869075,202240249482.85385
371,west-bengal,2021,1,Merchant payments,37143701,28918343691.018497
372,west-bengal,2021,1,Recharge & bill payments,26673733,11339665944.69124
373,west-bengal,2021,1,Financial Services,166727,175445811.88444334
374,west-bengal,2021,1,Others,400816,263502545.07389978
375,west-bengal,2021,4,Peer-to-peer payments,105728377,372240891205.5542
376,west-bengal,2021,4,Merchant payments,80248673,71231577538.7114
377,west-bengal,2021,4,Recharge & bill payments,37801439,17813903244.663807
378,west-bengal,2021,4,Financial Services,252535,270791056.674143
379,west-bengal,2021,4,Others,998536,660874216.4934742
380,west-bengal,2022,3,Peer-to-peer payments,163523844,556258142870.3699
381,west-bengal,2022,3,Merchant payments,145181044,123577123532.40588
382,west-bengal,2022,3,Recharge & bill payments,47208496,24221425246.93133
383,west-bengal,2022,3,Financial Services,238746,241288774.23230746
384,west-bengal,2022,3,Others,640258,451918188.20472723
385,west-bengal,2022,2,Peer-to-peer payments,145395450,520190680811.79974
386,west-bengal,2022,2,Merchant payments,126682135,107049019781.85823
387,west-bengal,2022,2,Recharge & bill payments,42712193,20697301165.41855
388,west-bengal,2022,2,Financial Services,191724,199770753.23061734
389,west-bengal,2022,2,Others,760639,438407071.93834406
390,west-bengal,2022,1,Peer-to-peer payments,124787028,446343740437.97784
391,west-bengal,2022,1,Merchant payments,97315025,85854730616.41321
392,west-bengal,2022,1,Recharge & bill payments,37317865,18435424277.725906
393,west-bengal,2022,1,Financial Services,239530,261096608.80560598
394,west-bengal,2022,1,Others,845644,531671268.6395414
395,west-bengal,2022,4,Peer-to-peer payments,184380244,620222191587.5906
